condition,incident_id,family,depth,provenance,edge_loss,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_fhir_reads,oh_model_calls,oh_replays,oh_writes,n_true_contaminated,n_neutralised,n_touched,n_clean,n_retained,n_repaired,n_followups,n_wrong_followups,oh_wall_seconds,oh_capsules,oh_capsule_bytes,oh_rounds
A,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
B,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
C,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,5,3,0,0,2,0,,,,
D,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,4,2,0,2,2,2,3,3,0,2,0,0.0613,9.0,7218.0,3.0
E,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,7,4,2,2,2,2,3,3,2,2,0,0.0581,9.0,7218.0,3.0
F,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,5,3,0,0,2,0,0.0867,18.0,14441.0,2.0
G,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,2,2,2,3,3,0,2,0,,,,
H,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,3,2,2,2,2,2,3,3,2,2,0,,,,
I,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,12,7,2,2,2,2,3,3,2,2,0,0.0669,9.0,7218.0,2.0
A,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
B,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
C,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,0.4,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,5,3,0,0,2,0,,,,
